ID,Nama,Jurusan,Tahun Lulus,Pekerjaan Saat Ini,Perusahaan,Skills,Project,Certificates,Organisasi,combined_features
6213,Rina Permana,Law,2019,Regulatory Affairs Specialist,Mayora,"Moot Court, Litigation, Contract Drafting",Merger & Acquisition Legal Review,Legal Research & Writing Certificate,pufa_social_science_and_education | fpci | accounting_club,alumni jurusan law berkarir sebagai regulatory affairs specialist di mayora  ahli dalam moot court  litigation  contract drafting
6214,Budi Wibowo,Financial Engineering,2021,Algorithmic Developer,PLN,"Financial Modeling, Data Science, C++",Option Pricing Model,Bloomberg Market Concepts,pumun,seorang algorithmic developer lulusan financial engineering dengan pengalaman di pln dan sertifikasi bloomberg market concepts
6215,Rizky Firdaus,Mechanical Engineering,2020,R&D Specialist,Ruangguru,"Prototyping, CATIA, AutoCAD",Engine Performance Test,FEA Software Proficiency,puma_mechanical_engineering | pufa_engineering,karir di bidang r d specialist dengan latar belakang pendidikan mechanical engineering dan aktif di puma mechanical engineering   pufa engineering
6216,Kartika Anggraini,Applied Mathematics,2016,Cryptographer,Traveloka,"Algorithm Development, Optimization, Python/R",Time Series Forecasting,"Data Science Professional Certificate, Machine Learning (Stanford/Coursera)",pusc,karir di bidang cryptographer dengan latar belakang pendidikan applied mathematics dan aktif di pusc
6217,Yoga Saputra,Business Administration,2019,Entrepreneur,Leo Burnett,"Business Strategy, Process Optimization, CRM",Startup Business Plan,CAPM,pufa_business,seorang entrepreneur lulusan business administration dengan pengalaman di leo burnett dan sertifikasi capm
6218,Budi Hakim,Primary School Teacher Education,2017,Education Consultant,Ruangguru,"Pedagogy, Counseling, Educational Leadership",Inclusive Classroom Setup,Child Protection Training,aiesec | debate_club,karir di bidang education consultant dengan latar belakang pendidikan primary school teacher education dan aktif di aiesec   debate club
6219,Rizky Rahman,Accounting,2021,Forensic Accountant,Bank Mandiri,"Taxation, Data Analysis for Accounting, Financial Reporting",Tax Planning Compliance,"Tax Brevet A & B, CPA (Certified Public Accountant)",puma_accounting,alumni jurusan accounting berkarir sebagai forensic accountant di bank mandiri  ahli dalam taxation  data analysis for accounting  financial reporting
6220,Cahya Wibowo,Actuarial Science,2017,Investment Analyst,Mayora,"Data Analysis, Financial Math, Risk Modeling",Pension Liability Calculation,R for Data Science,puma_actuarial_science,alumni jurusan actuarial science berkarir sebagai investment analyst di mayora  ahli dalam data analysis  financial math  risk modeling
6221,Rizky Lestari,Electrical Engineering,2016,Hardware Designer,Unilever,"MATLAB, PCB Design, Circuit Design",Robotic Control System,NFPA 70E (Electrical Safety),pufa_engineering | fpci | debate_club,seorang hardware designer lulusan electrical engineering dengan pengalaman di unilever dan sertifikasi nfpa 70e  electrical safety
6222,Galih Saputra,Primary School Teacher Education,2015,Education Administrator,Ruangguru,"Classroom Management, Counseling, Teaching Methods",Student Assessment System,Child Protection Training,pufa_social_science_and_education | fpci | accounting_club,karir di bidang education administrator dengan latar belakang pendidikan primary school teacher education dan aktif di pufa social science and education   fpci   accounting club
6223,Hani Saputra,Chemical Engineering,2017,Quality Assurance Chemist,Mayora,"Process Control, Process Simulation, Chemical Kinetics",Heat Exchanger Network,OSHA Process Safety Management (PSM),pufa_engineering,profesional chemical engineering dengan spesialisasi process control  process simulation  chemical kinetics dan pengalaman proyek heat exchanger network
6224,Yoga Hakim,Primary School Teacher Education,2017,Education Administrator,HighScope Indonesia,"Educational Leadership, Lesson Planning, Pedagogy",Digital Learning Module Creation,TEFL/TESOL,puma_primary_school_teacher_education,profesional primary school teacher education dengan spesialisasi educational leadership  lesson planning  pedagogy dan pengalaman proyek digital learning module creation
6225,Dewi Permana,Financial Engineering,2021,Data Analyst (Finance),PwC,"Stochastic Calculus, Python, Machine Learning",Cryptocurrency Market Analysis,"Bloomberg Market Concepts, FMVA (Financial Modeling)",puma_financial_engineering,seorang data analyst  finance  lulusan financial engineering dengan pengalaman di pwc dan sertifikasi bloomberg market concepts  fmva  financial modeling
6226,Rizky Sari,Management,2021,Recruitment Manager,Robert Walters,"Change Management, Payroll Administration, Negotiation",Performance Appraisal System Design,PHR (Professional in Human Resources),puma_management | fpci,alumni jurusan management berkarir sebagai recruitment manager di robert walters  ahli dalam change management  payroll administration  negotiation
6227,Indah Sihombing,Environmental Engineering,2020,Sustainability Specialist,Mayora,"EIA (Environmental Impact Assessment), Compliance, HSE Standards",Waste-to-Energy Feasibility Study,"NEBOSH International Certificate, GIS Fundamentals",puma_environmental_engineering | accounting_club | aiesec,alumni jurusan environmental engineering berkarir sebagai sustainability specialist di mayora  ahli dalam eia  environmental impact assessment   compliance  hse standards
6228,Cahya Hakim,Industrial Engineering,2017,Ergonomist,Mayora,"Statistical Process Control, Simulation (Arena), Six Sigma",Workplace Ergonomics Audit,"Lean Six Sigma Green Belt, Ergonomics Assessment Specialist",puma_industrial_engineering | pufa_engineering | accounting_club,seorang ergonomist lulusan industrial engineering dengan pengalaman di mayora dan sertifikasi lean six sigma green belt  ergonomics assessment specialist
6229,Budi Sari,Industrial Engineering,2023,Production Planner,Gojek Marketing,"Lean Manufacturing, Logistics, Simulation (Arena)",Supply Chain Network Design,"Ergonomics Assessment Specialist, Lean Six Sigma Green Belt",fpci | pusc | pudc,seorang production planner lulusan industrial engineering dengan pengalaman di gojek marketing dan sertifikasi ergonomics assessment specialist  lean six sigma green belt
6230,Imam Permana,Industrial Engineering,2019,Supply Chain Analyst,Unilever,"Six Sigma, Simulation (Arena), Logistics",Value Stream Mapping,"Lean Six Sigma Green Belt, CSCP (Certified Supply Chain Professional)",puma_industrial_engineering | pumun | moot_court,alumni jurusan industrial engineering berkarir sebagai supply chain analyst di unilever  ahli dalam six sigma  simulation  arena   logistics
6231,Tia Rahman,Environmental Engineering,2015,HSR Manager,Mayora,"HSE Standards, GIS, EIA (Environmental Impact Assessment)",Industrial Pollution Control Plan,GIS Fundamentals,puma_environmental_engineering,alumni jurusan environmental engineering berkarir sebagai hsr manager di mayora  ahli dalam hse standards  gis  eia  environmental impact assessment
6232,Galih Hakim,Primary School Teacher Education,2017,School Counselor,Djarum,"Pedagogy, Counseling, Classroom Management",Digital Learning Module Creation,Google Certified Educator,pufa_social_science_and_education | pusc,profesional primary school teacher education dengan spesialisasi pedagogy  counseling  classroom management dan pengalaman proyek digital learning module creation
6233,Citra Mahendra,Accounting,2018,Forensic Accountant,BCA,"IFRS, Audit, MYOB",Annual Financial Audit,"Tax Brevet A & B, Data Analytics for Accounting Certificate",puma_accounting | pusc,karir di bidang forensic accountant dengan latar belakang pendidikan accounting dan aktif di puma accounting   pusc
6234,Galih Suteja,Actuarial Science,2023,Pricing Specialist,Gojek Marketing,"Financial Math, Probability Theory, Risk Modeling",Life Insurance Pricing Model,Professional Risk Manager (PRM),puma_actuarial_science | fpci,seorang pricing specialist lulusan actuarial science dengan pengalaman di gojek marketing dan sertifikasi professional risk manager  prm
6235,Citra Firdaus,Primary School Teacher Education,2019,Education Administrator,Sekolah Pelita Harapan,"Educational Leadership, Classroom Management, Child Psychology",Inclusive Classroom Setup,TEFL/TESOL,pufa_social_science_and_education,alumni jurusan primary school teacher education berkarir sebagai education administrator di sekolah pelita harapan  ahli dalam educational leadership  classroom management  child psychology
6236,Zara Utama,Law,2015,Corporate Lawyer,Corporate Legal Dept (Unilever),"Dispute Resolution, Legal Writing, Legal Research",Anti-Corruption Policy Framework,"International Law Fundamentals, Certified Information Privacy Professional (CIPP)",pufa_social_science_and_education | purtc,karir di bidang corporate lawyer dengan latar belakang pendidikan law dan aktif di pufa social science and education   purtc
6237,Galih Utama,Industrial Engineering,2019,Supply Chain Analyst,Mayora,"System Modeling, Six Sigma, Logistics",Supply Chain Network Design,"Ergonomics Assessment Specialist, Lean Six Sigma Green Belt",puma_industrial_engineering,profesional industrial engineering dengan spesialisasi system modeling  six sigma  logistics dan pengalaman proyek supply chain network design
6238,Tia Mahendra,Accounting,2023,Tax Specialist,Deloitte,"Financial Reporting, Cost Accounting, Risk Management",Cost Reduction Analysis,"Tax Brevet A & B, CPA (Certified Public Accountant)",fpci | pufa_business | moot_court,karir di bidang tax specialist dengan latar belakang pendidikan accounting dan aktif di fpci   pufa business   moot court
6239,Budi Lestari,Chemical Engineering,2022,Food and Pharmaceutical Engineer,Google Indonesia,"Safety Management, Material Science, Chemical Kinetics",Catalyst Optimization Study,"Aspen HYSYS User Certification, HSE Certificate",pumun | pusc,profesional chemical engineering dengan spesialisasi safety management  material science  chemical kinetics dan pengalaman proyek catalyst optimization study
6240,Lina Rahman,Management,2021,Recruitment Manager,Unilever HR,"Negotiation, Change Management, Employee Relations",Diversity & Inclusion Initiative,"PHR (Professional in Human Resources), SHRM-CP (Certified Professional)",puma_management,seorang recruitment manager lulusan management dengan pengalaman di unilever hr dan sertifikasi phr  professional in human resources   shrm cp  certified professional
6241,Dewi Firdaus,Industrial Engineering,2016,Quality Manager,Ruangguru,"Simulation (Arena), Statistical Process Control, Six Sigma",Inventory Flow Analysis,"CSCP (Certified Supply Chain Professional), Ergonomics Assessment Specialist",pufa_engineering | pumun,seorang quality manager lulusan industrial engineering dengan pengalaman di ruangguru dan sertifikasi cscp  certified supply chain professional   ergonomics assessment specialist
6242,Joko Ramadhan,Electrical Engineering,2023,Power System Engineer,Google Indonesia,"SCADA, MATLAB, PCB Design",IoT Sensor Network,NFPA 70E (Electrical Safety),puma_electrical_engineering,seorang power system engineer lulusan electrical engineering dengan pengalaman di google indonesia dan sertifikasi nfpa 70e  electrical safety
6243,Zara Utama,Law,2015,Litigation Consultant,Ruangguru,"Dispute Resolution, Compliance, Corporate Governance",Merger & Acquisition Legal Review,"Legal Research & Writing Certificate, Certified Paralegal (CP)",pufa_social_science_and_education | purtc | accounting_club,seorang litigation consultant lulusan law dengan pengalaman di ruangguru dan sertifikasi legal research   writing certificate  certified paralegal  cp
